,city,Lat,Lon,Wind Speed,Humidity,Temperature,Cloud Cover
266,Chapais,49.78,-74.86,12.75,62,23.0,90
267,Chuy,-33.69,-53.46,14.72,98,62.41,92
268,Zhangjiakou,40.77,114.88,13.6,55,30.91,0
269,Monrovia,6.33,-10.8,6.55,94,78.8,75
270,Moree,-29.46,149.84,4.76,41,64.44,0
271,Beberibe,-4.18,-38.13,8.05,78,80.6,20
272,Mende,44.52,3.5,1.97,84,45.13,92
273,Miandrivazo,-19.53,45.46,3.65,70,69.57,0
274,Shetpe,44.14,52.16,8.12,88,48.64,92
275,Mlonggo,-6.53,110.7,4.21,100,74.47,44
276,Brazzaville,-4.27,15.27,2.42,83,78.8,0
277,Pitimbu,-7.47,-34.81,10.29,69,80.6,40
278,Pangnirtung,66.15,-65.72,4.7,54,28.4,90
279,Sawtell,-30.38,153.1,9.17,82,66.2,90
280,Baykit,61.68,96.39,5.44,99,34.29,92
281,Harper,30.3,-99.24,8.05,33,80.6,1
282,Maldonado,-34.91,-54.96,11.41,72,62.6,75
283,Saint-Georges,46.12,-70.67,7.11,53,31.59,0
284,Flinders,-34.58,150.85,6.93,87,55.4,40
285,Noumea,-22.28,166.46,2.24,69,75.2,0
286,Lata,30.78,78.62,2.98,62,41.08,0
287,Jamame,0.07,42.75,6.44,89,77.22,92
288,Uruzgan,32.93,66.63,1.52,69,24.97,0
289,Tabou,4.42,-7.36,10.13,100,80.37,44
290,Kiunga,-6.12,141.3,1.63,90,74.29,32
291,Santa Rosa,-36.62,-64.29,5.82,56,69.8,20
292,Yarada,17.65,83.27,10.58,100,83.65,8
293,Villa de Cura,10.04,-67.49,2.64,57,81.99,44
294,Hasaki,35.73,140.83,5.82,100,62.6,75
295,Mango,44.69,8.15,13.87,77,68.0,75
296,Rybnaya Sloboda,55.46,50.14,8.95,97,35.6,75
297,Teya,21.05,-89.07,4.7,43,89.6,75
298,Verkhnevilyuysk,63.45,120.31,4.54,92,20.83,76
299,Erenhot,43.65,111.97,7.0,85,18.49,8
300,Vestmanna,62.16,-7.17,24.16,59,35.6,64
301,Aswan,24.09,32.9,9.17,34,78.8,0
302,Cockburn Town,21.46,-71.14,14.5,100,81.13,44
303,Vao,59.1,26.19,4.54,100,36.76,88
304,Katav-Ivanovsk,54.75,58.21,4.76,98,38.07,68
305,Cherskiy,68.75,161.3,4.21,53,-10.0,0
306,Salinas,36.67,-121.66,4.43,30,80.6,1
307,Port Keats,-14.25,129.55,3.09,92,78.84,0
308,Burriana,39.89,-0.08,5.82,82,64.4,20
309,San Roque,0.3,-78.23,1.63,100,55.3,92
310,Sao Filipe,14.9,-24.5,13.04,98,78.7,0
311,Chokurdakh,70.62,147.9,6.22,69,-5.0,36
312,Knysna,-34.04,23.05,3.36,93,64.4,92
313,Nyrob,60.74,56.73,10.8,91,34.87,80
314,Garelochhead,56.08,-4.83,4.7,100,41.0,75
315,Manjacaze,-24.71,33.88,9.8,83,65.79,0
316,Wenatchee,47.42,-120.31,4.7,71,60.8,90
317,Luanda,-8.83,13.24,4.99,91,77.44,0
318,Kamareddi,18.32,78.34,2.64,69,64.26,0
319,Pfarrkirchen,48.43,12.94,6.55,86,42.16,32
320,Pemberton,-34.44,116.03,9.69,95,49.32,20
321,Honiara,-9.43,159.96,3.36,94,77.0,20
322,Kaa-Khem,51.7,94.56,2.64,76,14.67,0
323,Inhambane,-23.87,35.38,9.57,100,69.07,0
324,Abnub,27.27,31.15,13.87,49,71.6,0
325,Necochea,-38.55,-58.74,10.8,79,60.16,68
326,Wynyard,51.77,-104.18,12.59,74,44.23,56
327,Benguela,-12.58,13.4,1.07,98,76.77,0
328,Ligayan,4.65,119.47,6.44,100,83.16,8
329,Redlands,34.06,-117.19,4.7,21,95.0,1
330,Inongo,-1.93,18.29,2.08,96,73.93,8
331,Nador,35.17,-2.93,9.57,82,66.2,0
332,Haines Junction,60.75,-137.51,1.97,88,32.08,80
333,La Ronge,55.1,-105.3,4.7,93,32.0,90
334,Tamala,52.54,43.26,6.78,98,33.57,92
335,Vanimo,-2.67,141.3,2.75,100,82.44,56
336,Lamu,0.57,122.3,2.08,100,74.02,12
337,Kirakira,-10.46,161.92,5.99,99,84.37,36
338,Taltal,-25.41,-70.49,3.53,67,69.21,8
339,Gizo,31.8,34.94,6.93,52,68.0,75
340,Krzeszowice,50.13,19.63,2.24,87,48.2,24
341,Mount Isa,-20.73,139.49,3.36,49,71.6,0
342,Tiznit,29.7,-9.73,8.46,95,65.38,80
343,Tura,25.52,90.21,1.19,91,65.11,0
344,Kidal,18.44,1.41,7.11,22,66.55,0
345,Viedma,-40.81,-62.99,10.69,62,63.54,56
346,Santiago del Estero,-27.8,-64.26,8.57,84,73.03,68
347,Gat,14.69,-16.54,8.12,59,83.34,20
348,Naples,26.14,-81.79,13.87,70,84.2,20
349,Oktyabrskiy,55.61,37.97,6.71,80,35.6,75
350,Adrar,27.87,-0.29,11.41,33,73.4,0
351,Lima,-12.06,-77.04,2.98,48,69.21,20
352,Marfino,56.07,37.56,11.18,86,33.8,0
353,Ferrara,44.84,11.62,2.24,87,59.0,75
354,San Francisco,37.78,-122.42,3.36,41,78.8,1
355,Kindu,-2.95,25.92,3.42,77,76.09,56
356,Rafraf,37.19,10.18,5.82,63,71.6,0
357,Kloulklubed,7.04,134.26,17.22,78,80.6,90
358,Zambezi,-13.55,23.12,11.03,26,79.06,36
359,Baruun-Urt,46.68,113.28,11.7,77,19.12,64
360,Praia da Vitoria,38.73,-27.07,21.21,82,66.2,40
361,Pyaozerskiy,65.83,31.17,9.69,100,33.84,88
362,Salalah,17.01,54.1,3.36,83,78.8,0
363,Souillac,45.6,-0.6,3.36,100,48.2,90
364,Jitauna,-14.02,-39.89,9.13,50,84.55,0
365,Klaksvik,62.23,-6.59,24.16,59,35.6,80
366,Alta Floresta,-9.87,-56.08,3.36,44,95.0,20
367,Kawambwa,-9.8,29.07,1.52,79,71.86,100
368,Itarema,-2.92,-39.92,15.5,65,83.07,0
369,Am Timan,11.04,20.28,3.2,58,78.21,44
370,Provideniya,64.42,-173.23,21.77,100,30.1,0
371,Morganton,35.75,-81.69,8.05,100,46.4,90
372,Jizan,16.89,42.56,3.36,58,87.8,0
373,Antofagasta,-23.65,-70.4,16.11,67,60.8,75
374,Birjand,32.86,59.22,6.93,25,66.2,75
375,Gelemso,8.81,40.52,0.96,80,55.89,0
376,Knyaze-Volkonskoye,48.46,135.46,8.95,87,44.6,40
377,Gamba,28.28,88.52,1.63,70,3.87,44
378,Kieta,-6.22,155.63,4.21,100,78.16,64
379,Bathsheba,13.22,-59.52,13.87,66,84.2,40
380,Shibetsu,44.15,142.46,7.11,89,47.07,80
381,Huarmey,-10.07,-78.15,5.1,51,72.99,12
382,Tomatlan,19.93,-105.25,4.09,67,85.27,0
383,Rawson,-43.3,-65.11,17.29,58,64.71,76
384,Goderich,43.74,-81.71,13.04,82,47.02,88
385,Yar-Sale,66.83,70.83,13.49,89,37.62,92
386,Freetown,26.61,-78.36,6.93,70,86.0,40
387,Moerai,-22.43,-151.33,17.63,100,72.49,92
388,Paita,-5.09,-81.11,13.87,69,75.2,0
389,Bembereke,10.23,2.66,8.79,71,77.94,24
390,Misratah,32.38,15.09,10.25,100,65.92,0
391,Hecun,29.94,119.31,2.42,77,37.62,0
392,Boyolangu,-8.09,111.9,3.53,93,67.18,8
393,Three Hills,51.7,-113.27,12.75,43,50.0,75
394,Ler,63.2,10.3,3.36,96,33.8,40
395,Qaqortoq,60.72,-46.03,44.96,52,42.8,92
396,Wilmington,39.75,-75.55,8.05,61,48.2,90
397,Berlevag,70.86,29.09,9.17,80,37.4,75
398,Vostok,46.45,135.83,9.01,86,48.64,92
399,Nyurba,63.29,118.35,2.42,93,23.62,80
400,Sabha,27.03,14.43,13.04,51,74.02,12
401,Laguna,27.52,-110.01,6.93,29,89.6,5
402,Willowmore,-33.3,23.49,1.74,91,59.26,0
403,Aripuana,-9.17,-60.63,2.08,48,93.24,20
404,Takoradi,4.89,-1.75,8.57,100,80.32,0
405,Northam,51.04,-4.21,6.93,86,41.0,0
406,Algeciras,36.13,-5.45,2.24,88,69.8,40
407,Bilma,18.69,12.92,8.01,23,80.46,56
408,Purwodadi,-7.08,110.92,2.75,96,71.77,76
409,Kamaishi,39.28,141.86,15.5,83,61.74,92
410,Nuuk,64.17,-51.74,14.99,100,37.4,92
411,Geraldton,49.72,-86.95,9.17,86,30.2,90
412,Aksu,52.04,76.93,8.95,74,35.6,0
413,Clinton,41.84,-90.19,4.7,54,53.6,90
414,Tigil,57.8,158.67,3.53,93,35.32,92
415,College,64.86,-147.8,3.09,72,35.6,75
416,Yekaterinoslavka,54.34,72.46,11.25,69,40.81,0
417,Pacific Grove,36.62,-121.92,4.43,30,80.6,1
418,Lufilufi,-13.87,-171.6,3.36,74,84.2,40
419,Bogatyye Saby,56.01,50.45,10.47,93,31.45,20
420,Holme,53.7,-2.31,9.17,77,46.4,56
421,Meadow Lake,54.13,-108.44,9.17,61,50.0,20
422,Karatau,43.18,70.46,2.64,60,43.92,0
423,Leshukonskoye,64.9,45.76,3.53,95,30.24,88
424,Codrington,-28.95,153.24,3.2,90,65.07,36
425,Verkhnyaya Inta,65.99,60.32,2.19,99,31.99,80
426,Middle Island,40.88,-72.94,4.7,65,48.2,90
427,Bollnas,61.35,16.39,4.76,97,24.88,0
428,Jalu,29.03,21.55,8.01,62,63.31,0
429,Camacha,33.08,-16.33,4.7,82,68.0,40
430,Gorele,41.03,39.0,9.17,76,53.6,75
431,Rocha,-34.48,-54.34,12.03,75,61.15,92
432,Oxford,33.61,-85.83,14.99,82,60.8,90
433,Portland,45.52,-122.67,5.82,87,62.6,90
434,Nisia Floresta,-6.09,-35.21,16.11,69,82.4,40
435,Lhokseumawe,5.18,97.15,1.19,100,81.13,0
436,Rawlins,41.79,-107.24,18.34,37,53.6,1
437,Xai-Xai,-25.04,33.64,11.03,100,69.79,0
438,Mayo,63.59,-135.9,3.36,69,37.4,75
439,Mana,43.52,20.24,1.12,100,51.8,0
440,Pacasmayo,-7.4,-79.57,17.74,95,62.5,12
441,La Mana,-0.93,-79.22,9.17,52,69.8,75
442,Gobabis,-22.45,18.97,3.36,19,75.2,20
443,Phek,25.7,94.46,2.64,93,57.55,0
444,Kasane,-17.8,25.16,3.2,48,65.29,32
445,Jumla,29.28,82.18,2.53,93,25.06,0
446,Goba,7.01,39.97,0.96,92,48.19,64
447,Zhob,31.34,69.45,2.42,81,38.83,0
448,Green Valley,40.41,-89.64,11.41,87,50.0,90
449,Dibrugarh,27.48,94.9,2.19,76,59.22,0
450,Port Huron,42.98,-82.44,8.05,61,50.0,90
451,Andra,62.52,65.89,12.82,91,45.22,92
452,Skelleftea,64.75,20.95,4.7,100,30.2,75
453,Caluquembe,-13.78,14.68,2.53,82,56.92,12
454,Udachnyy,66.42,112.4,2.98,91,18.09,76
455,Hambantota,6.12,81.12,4.99,100,76.99,92
456,Severo-Kurilsk,50.68,156.12,12.71,100,42.21,32
457,Staryy Urukh,43.34,44.02,6.71,80,41.0,40
458,Sars,56.55,57.14,7.56,88,39.46,88
459,Anadyr,64.73,177.51,2.24,84,1.4,20
460,Catio,11.28,-15.25,7.23,76,81.13,0
461,Shingu,33.72,135.99,19.08,100,70.06,12
462,Okhotsk,59.36,143.24,4.43,100,33.57,92
463,Tolaga Bay,-38.37,178.3,8.23,70,61.96,0
464,Ashcroft,-33.91,150.9,9.17,72,62.6,40
465,Lake City,38.03,-107.32,3.36,23,55.4,1
466,Balezino,57.97,53.01,13.71,89,32.22,88
467,Hofn,64.25,-15.21,27.92,100,34.69,0
468,Wenling,28.38,121.38,11.81,100,57.55,0
469,Rieti,42.4,12.86,4.99,96,58.14,92
470,Karema,-6.82,30.44,6.55,34,84.19,100
471,Makaha,21.47,-158.22,5.82,88,84.2,75
472,Leme,-22.19,-47.39,3.2,96,70.06,44
473,Agadir,30.42,-9.58,12.75,82,64.4,75
474,Pedro Juan Caballero,-22.55,-55.74,11.41,78,77.0,75
475,Sampit,-2.54,112.95,3.09,93,73.75,32
476,Nizhniy Ingash,56.2,96.53,7.45,79,30.1,36
477,Tarko-Sale,64.92,77.78,21.21,87,44.77,64
478,Mahajanga,-15.72,46.32,4.7,83,78.8,20
479,Alekseyevsk,57.84,108.35,4.09,77,29.29,92
480,Chernushka,56.5,56.08,11.81,94,37.93,44
481,Requena,39.49,-1.1,5.82,82,64.4,20
482,Dano,11.14,-3.06,5.44,63,80.64,0
483,Chervona Sloboda,50.74,33.96,9.24,91,35.46,8
484,Sandpoint,48.28,-116.55,3.36,93,53.6,90
485,Khasan,42.43,130.64,15.84,100,42.57,0
486,Samarai,-10.62,150.67,5.77,100,77.53,92
487,Stara Tura,48.78,17.69,13.87,66,55.4,20
488,Itaituba,-4.26,-55.99,8.05,47,95.0,20
489,Chimbote,-9.08,-78.59,10.47,69,67.59,12
490,Half Moon Bay,37.46,-122.43,4.7,68,78.8,75
491,Kjopsvik,68.1,16.37,3.36,100,21.2,0
492,Kaeo,-35.1,173.78,15.05,69,65.79,24
493,Vershino-Darasunskiy,52.35,115.52,7.23,75,19.21,36
494,Richards Bay,-28.77,32.06,1.52,85,65.79,0
495,Moron,10.49,-68.2,3.42,88,76.81,76
496,Jutai,-1.71,-47.89,5.55,86,80.14,56
497,Yeppoon,-23.13,150.74,3.36,83,71.6,0
498,Najran,17.54,44.22,2.64,38,75.2,0
499,Ormara,25.21,64.64,3.65,90,76.54,0
500,Tullamore,53.27,-7.49,6.93,86,37.4,20
501,Tuy Hoa,13.08,109.3,7.0,100,75.28,92
502,Rio Verde de Mato Grosso,-18.92,-54.84,5.44,71,83.2,0
503,Port Shepstone,-30.74,30.45,11.14,91,69.25,0
504,Fuerte Olimpo,-21.04,-57.87,4.76,99,78.25,56
505,Machico,32.7,-16.77,10.29,72,68.0,40
506,Araouane,18.9,-3.53,7.11,20,72.58,0
507,Jammalamadugu,14.85,78.38,2.64,86,69.52,0
508,Marsa Matruh,31.35,27.25,5.82,63,64.4,0
509,Port Augusta,-32.49,137.76,8.05,82,57.2,80
510,Itoman,26.12,127.67,11.41,88,75.2,90
511,Haapiti,-17.57,-149.87,6.93,62,86.0,75
512,Manzanillo,20.34,-77.12,11.03,100,83.79,0
513,Kysyl-Syr,63.9,122.77,4.65,92,18.58,80
514,Pyapon,16.29,95.68,3.2,100,76.32,20
515,Boguchany,58.38,97.46,7.78,86,35.46,64
516,Manubul,5.47,120.8,8.68,100,84.24,12
517,Porto Walter,-8.27,-72.74,2.53,60,88.02,36
518,Broken Hill,-31.97,141.45,8.23,51,55.62,8
519,Coihaique,-45.58,-72.07,8.05,62,57.2,90
520,Luba,17.32,120.7,3.98,82,64.93,0
521,Desbiens,48.42,-71.95,13.87,42,30.2,20
522,Pinega,64.7,43.39,9.8,88,35.37,92
523,Synya,65.37,58.04,5.1,99,32.71,92
524,Faya,18.39,42.45,1.07,82,66.2,0
525,Grand Gaube,-20.01,57.66,4.7,77,69.8,40
526,Matale,7.47,80.62,2.64,98,70.15,80
527,Zhongshu,24.52,103.77,3.53,98,54.09,92
528,Okha,53.59,142.95,10.58,90,32.35,80
529,Morgan City,29.7,-91.21,8.05,53,71.6,1
530,Ust-Omchug,61.13,149.63,2.42,74,19.21,88
531,Ariquemes,-9.91,-63.03,1.74,40,95.76,24
532,Gualaquiza,-3.4,-78.58,2.53,98,68.76,80
533,Ivankiv,50.93,29.9,4.47,100,37.4,8
534,Puerto Asis,0.51,-76.5,2.42,98,74.2,80
535,Macheng,31.18,115.03,4.54,63,39.28,0
536,Sibolga,1.74,98.78,2.08,100,68.17,44
